Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_1465_30_0	omega_1465_30	e980478aa74ee553e2fa64da3546acf2	0.882	0.672	0.21	1.245	0.88	0.365	1.071	0.74	0.331	868.459
omega_713_4_0	omega_713_4	7da87af9e4c4be6e0fa583e2a0009daf	0.882	0.531	0.351	1.145	0.674	0.471	1.293	0.715	0.578	849.754
omega_765_22_0	omega_765_22	5c1396a5fceaa15e1177cc4bca92861a	0.882	0.586	0.296	1.234	0.785	0.448	1.163	0.697	0.466	820.735
omega_676_3_0	omega_676_3	ab78ca4e476a60a0133c7cc620578313	0.881	0.64	0.241	1.334	0.837	0.497	1.05	0.731	0.319	859.804
omega_1672_31_0	omega_1672_31	296cd0a28f9273192ccb6f8a63a4854f	0.881	0.575	0.306	1.343	0.783	0.56	1.087	0.684	0.403	804.52
omega_1867_24_0	omega_1867_24	03341f59e9cd2ec82ed77e66e4697674	0.881	0.629	0.252	1.262	0.831	0.431	1.1	0.721	0.379	847.587
omega_778_6_0	omega_778_6	b16313547bca2ac2be37615f3c6ffd45	0.881	0.535	0.346	1.22	0.724	0.496	1.206	0.672	0.534	792.475
omega_219_1_0	omega_219_1	09a5f73d8de5bbc7c4061c09745f8e15	0.881	0.57	0.311	1.243	0.746	0.497	1.161	0.708	0.453	835.813
omega_980_34_0	omega_980_34	1c2873b56f80f169cec5d1993241cd4a	0.881	0.549	0.332	1.203	0.73	0.473	1.216	0.688	0.527	812.605
omega_952_4_0	omega_952_4	e4b078d93bb4827a6a22ea5c13a86686	0.881	0.554	0.326	1.148	0.702	0.446	1.273	0.725	0.549	859.422
omega_738_27_0	omega_738_27	9e5df680d1e96049ec7a950f784ec9af	0.88	0.534	0.346	1.151	0.742	0.41	1.347	0.656	0.692	771.736
omega_1217_31_0	omega_1217_31	a38e9567bcb9f8bfcab02b8f3d46deb3	0.88	0.583	0.298	1.164	0.712	0.452	1.227	0.762	0.466	905.382
omega_1661_42_0	omega_1661_42	39555e6229cfb49ba238517df8d16077	0.88	0.595	0.285	1.277	0.8	0.477	1.113	0.699	0.414	822.003
omega_636_12_0	omega_636_12	c9939e33275629ab649a96fd902719dd	0.88	0.529	0.35	1.152	0.738	0.414	1.347	0.652	0.695	767.069
omega_1715_1_0	omega_1715_1	96aa683a21c0672edb76644ad59c01a8	0.88	0.518	0.362	1.401	0.768	0.634	1.072	0.614	0.457	719.294
omega_1215_5_0	omega_1215_5	4da86dc9009d3ccef04df29893144fd9	0.879	0.662	0.217	1.239	0.824	0.415	1.085	0.771	0.313	910.048
omega_1360_3_0	omega_1360_3	93ebd8ed2896396072ae819852db42ed	0.879	0.589	0.29	1.371	0.811	0.56	1.059	0.683	0.376	801.865
omega_364_23_0	omega_364_23	c760dd99ba88e532d1322ee2ea90fa43	0.879	0.585	0.294	1.314	0.81	0.503	1.093	0.678	0.415	795.52
omega_2078_39_0	omega_2078_39	5f1e62b44994f41452249a88f0c96d79	0.879	0.54	0.339	1.354	0.761	0.592	1.092	0.65	0.443	763.171
omega_726_37_0	omega_726_37	89b5e6ddf8d649b236bf3c0d1b620c2c	0.879	0.626	0.253	1.278	0.796	0.482	1.093	0.746	0.347	880.505
omega_1894_34_0	omega_1894_34	3fc83d36cc54bb01154925f2509ad4c3	0.879	0.628	0.251	1.297	0.827	0.47	1.073	0.724	0.349	850.852
omega_1431_14_0	omega_1431_14	4dc77256592e37900b57e3ffb3909925	0.879	0.656	0.223	1.211	0.829	0.382	1.106	0.759	0.348	894.525
omega_289_20_0	omega_289_20	54d7ba6c22ed6ec7cf5ed5f433ba2535	0.879	0.578	0.301	1.304	0.784	0.52	1.103	0.688	0.416	808.753
omega_819_4_0	omega_819_4	09fa88eea9013bfdc2d8905ca4c174c4	0.878	0.619	0.26	1.143	0.796	0.347	1.244	0.735	0.508	867.283
omega_1166_15_0	omega_1166_15	1f29120ef43ac78f2b589eaebdf3b645	0.878	0.574	0.304	1.195	0.752	0.443	1.2	0.708	0.492	835.933
omega_872_45_0	omega_872_45	704a8f7ff1e8098b75efee52534dae2a	0.878	0.564	0.314	1.18	0.738	0.442	1.225	0.705	0.521	832.175
omega_1107_47_0	omega_1107_47	7e26f9fedb510c92a0f00747da400ace	0.878	0.593	0.285	1.261	0.8	0.461	1.123	0.696	0.428	817.709
omega_238_50_0	omega_238_50	166e9b35d42adc22abe7503fea2580d5	0.878	0.573	0.305	1.149	0.692	0.457	1.247	0.77	0.477	916.956
omega_626_39_0	omega_626_39	85a010872809e039fb53a3b995257ec6	0.877	0.532	0.345	1.365	0.763	0.602	1.085	0.637	0.447	747.751
omega_1041_15_0	omega_1041_15	71d1b887c49e3525d30545c152d63b9f	0.877	0.635	0.242	1.203	0.799	0.404	1.132	0.756	0.377	892.09
omega_2175_23_0	omega_2175_23	a9e72dfc899127cfb247cb4ca4a14ade	0.877	0.568	0.309	1.295	0.789	0.506	1.113	0.669	0.444	785.518
omega_1980_28_0	omega_1980_28	2829fb201e5a27d7771d9ec8ec2fcd29	0.877	0.569	0.307	1.225	0.756	0.469	1.168	0.698	0.471	822.518
omega_1446_6_0	omega_1446_6	42598ef15c44e8fc8bc62ae2fc0ba830	0.876	0.567	0.309	1.231	0.753	0.478	1.164	0.696	0.468	821.021
omega_1994_29_0	omega_1994_29	30eb0be9f067a2ea332f55157fd9c11e	0.876	0.528	0.348	1.539	0.837	0.701	0.997	0.588	0.409	685.09
omega_130_26_0	omega_130_26	11ecadac281a4e45e7fe412088a374c0	0.876	0.602	0.274	1.113	0.709	0.404	1.26	0.8	0.46	953.675
omega_1852_31_0	omega_1852_31	83d03c516cbddeb2e93b72b66bc2a889	0.876	0.52	0.356	1.096	0.678	0.418	1.395	0.691	0.704	819.044
omega_230_12_0	omega_230_12	80b68e0742a9900430584a6ece5b67b0	0.876	0.599	0.277	1.294	0.777	0.517	1.097	0.724	0.373	853.866
omega_683_26_0	omega_683_26	b3c3ed1fd6911778bae629c82a16eb33	0.876	0.541	0.335	1.256	0.729	0.526	1.156	0.676	0.48	797.782
omega_906_4_0	omega_906_4	d9d04680903b1d73cdfa33e290067150	0.876	0.609	0.266	1.4	0.906	0.494	1.017	0.65	0.367	757.991
omega_2060_24_0	omega_2060_24	ad8c5af9ccc529bd41dc9f2d5cade6f4	0.876	0.538	0.338	1.489	0.856	0.633	1.011	0.591	0.42	688.359
omega_577_25_0	omega_577_25	7aefe2a9dac8028948d94f40e95a2d2a	0.875	0.547	0.329	1.349	0.801	0.548	1.084	0.633	0.451	740.942
omega_996_4_0	omega_996_4	a70f28a53429b9200d5a2c81268f22fd	0.875	0.616	0.259	1.211	0.771	0.441	1.141	0.755	0.387	892.419
omega_1278_43_0	omega_1278_43	0e115707b131917302fee17ee34a1843	0.875	0.539	0.336	1.271	0.746	0.525	1.143	0.66	0.483	776.724
omega_2167_11_0	omega_2167_11	b3c763486c500bb3e01597c8ea079e87	0.875	0.546	0.329	1.588	0.848	0.741	0.978	0.605	0.372	705.69
omega_569_6_0	omega_569_6	7c8f7e5c0b71d3207c4a577c67d02aa1	0.875	0.566	0.31	1.368	0.777	0.591	1.069	0.676	0.394	794.155
omega_1452_36_0	omega_1452_36	76706fffcdf1b8918bce7323d94dcb2d	0.875	0.555	0.32	1.301	0.782	0.519	1.112	0.657	0.455	770.728
omega_17_14_0	omega_17_14	12a4b042340a2d082084578a6cad227c	0.875	0.591	0.284	1.443	0.888	0.555	1.007	0.639	0.368	744.612
omega_646_7_0	omega_646_7	821c978af779534b62fcfae3807dfda9	0.875	0.566	0.309	1.352	0.835	0.516	1.072	0.637	0.436	744.174
omega_361_8_0	omega_361_8	50069b21b6cb9cb131481592132c1242	0.875	0.612	0.263	1.385	0.852	0.533	1.027	0.684	0.342	801.656
omega_974_10_0	omega_974_10	87b5e6d767612e5d5d99f5f5894866f7	0.875	0.616	0.259	1.214	0.811	0.403	1.139	0.719	0.419	846.643
omega_1113_10_0	omega_1113_10	ab96a439e4cc3892f0481b3a8ed3f5d0	0.875	0.527	0.348	1.56	0.788	0.771	1.002	0.614	0.388	718.362
omega_1539_38_0	omega_1539_38	f7f1d0e802ca8c0ababf558ba0a6f766	0.875	0.553	0.322	1.443	0.872	0.571	1.026	0.602	0.424	700.331
omega_1611_25_0	omega_1611_25	e55da205009dee0b3f728cf6bc3a62d6	0.874	0.604	0.27	1.181	0.768	0.412	1.178	0.739	0.439	873.681
omega_389_20_0	omega_389_20	892e05ef9f1296d0b73b3bf538f29d4c	0.874	0.619	0.256	1.179	0.778	0.401	1.165	0.751	0.414	887.722
omega_938_20_0	omega_938_20	541bbd76c88387831f94f1edca0dbf49	0.874	0.568	0.306	1.354	0.834	0.519	1.067	0.64	0.428	747.832
omega_613_46_0	omega_613_46	bcf1512865385e79e9f738b336ebcb4d	0.874	0.511	0.363	1.298	0.772	0.526	1.141	0.602	0.539	704.276
omega_934_45_0	omega_934_45	52535b9e43614a7de3a12a4061a2783c	0.874	0.579	0.295	1.271	0.759	0.512	1.119	0.71	0.41	837.172
omega_70_22_0	omega_70_22	e20fb5ed756f7e3be3e4cc09f99bafd8	0.874	0.574	0.3	1.281	0.788	0.493	1.112	0.679	0.433	798.009
omega_469_21_0	omega_469_21	30285372f42b513a02dfb8b9c1ed47a8	0.874	0.664	0.21	1.328	0.858	0.471	1.021	0.746	0.275	877.306
omega_1655_5_0	omega_1655_5	296fa6d63c58eaf13cd5e24c69276fc5	0.874	0.639	0.234	1.115	0.737	0.378	1.21	0.828	0.382	987.511
omega_1691_10_0	omega_1691_10	619877a0a10b79261dd27a305c748b9c	0.874	0.596	0.277	1.341	0.853	0.488	1.056	0.665	0.391	777.855
omega_1482_41_0	omega_1482_41	77dc0fdaf4d6b38905022c5859ec9632	0.873	0.621	0.253	1.194	0.789	0.405	1.146	0.745	0.401	878.935
omega_1602_8_0	omega_1602_8	48a4619680772d2cbdce717f11bbd83e	0.873	0.623	0.251	1.213	0.804	0.408	1.128	0.734	0.394	864.531
omega_653_16_0	omega_653_16	6e0a0f0b8ef55feb1a04c0068e527d1c	0.873	0.556	0.318	1.356	0.831	0.525	1.072	0.626	0.446	731.651
omega_1828_6_0	omega_1828_6	3cc4a6d79b51b0257ebe16d1bc797769	0.873	0.621	0.252	1.269	0.838	0.431	1.084	0.705	0.379	827.753
omega_1790_2_0	omega_1790_2	a6a86bc913685ac884f036001f0e8742	0.872	0.511	0.361	1.581	0.916	0.665	0.978	0.536	0.441	620.853
omega_201_16_0	omega_201_16	4ad0cc0a2a9ec7d394896d1973e4e6a3	0.872	0.56	0.312	1.157	0.771	0.386	1.291	0.672	0.62	789.763
omega_834_1_0	omega_834_1	96195321f6a9b2d5e1762b96b18fa638	0.872	0.604	0.268	1.204	0.781	0.422	1.15	0.726	0.423	856.894
omega_1856_27_0	omega_1856_27	09fc39e66467e0b2f80879616f190941	0.872	0.662	0.21	1.191	0.808	0.384	1.102	0.785	0.317	928.652
omega_1652_4_0	omega_1652_4	32d82ae369eed3c12b8bee8ca4adef01	0.871	0.589	0.282	1.375	0.838	0.537	1.038	0.665	0.374	778.01
omega_898_6_0	omega_898_6	de0a589bf8773ce7aa80bead1c59d646	0.871	0.573	0.298	1.238	0.803	0.436	1.153	0.667	0.486	782.393
omega_2169_2_0	omega_2169_2	40db894c33eae7fb0bfd17c417ab8860	0.871	0.576	0.296	1.371	0.814	0.557	1.049	0.663	0.387	776.716
omega_1164_29_0	omega_1164_29	0d4eb8ce8f05ec34a936577b48ffd9cb	0.871	0.634	0.237	1.242	0.811	0.431	1.089	0.744	0.345	877.206
omega_376_26_0	omega_376_26	e7cefd0646dce1d4f5af9469ffea4dbf	0.871	0.651	0.22	1.234	0.815	0.419	1.081	0.764	0.316	901.889
omega_2147_35_0	omega_2147_35	0edd6a29a05ca41f7d87500d3edd65bd	0.871	0.605	0.266	1.352	0.86	0.492	1.038	0.671	0.367	784.968
omega_332_2_0	omega_332_2	8573d39aedf01e5ab4b8b49a60636495	0.871	0.581	0.29	1.241	0.763	0.477	1.134	0.708	0.426	835.169
omega_1884_8_0	omega_1884_8	aeff2614fd36d913702e52ccaa553cd1	0.871	0.645	0.226	1.292	0.902	0.389	1.044	0.694	0.35	810.808
omega_1825_5_0	omega_1825_5	45cd203327a199d076a169b276230ee7	0.871	0.631	0.24	1.188	0.803	0.385	1.135	0.747	0.388	881.133
omega_73_45_0	omega_73_45	849dcb6470af528d66d3709de17b64b7	0.871	0.557	0.314	1.467	0.869	0.599	1.005	0.608	0.397	708.387
omega_152_13_0	omega_152_13	acf1be3d54eb9b9729245e2060a680d3	0.87	0.583	0.287	1.188	0.759	0.429	1.181	0.716	0.465	844.785
omega_844_44_0	omega_844_44	50fd35ec9ce7fa6063cc76b52879b1bd	0.87	0.591	0.279	1.162	0.746	0.417	1.199	0.74	0.459	876.344
omega_263_44_0	omega_263_44	759ef5cd58db0dd24168569adcf2225e	0.87	0.53	0.34	1.152	0.655	0.498	1.254	0.735	0.519	876.594
omega_2144_8_0	omega_2144_8	fdea215a484cd9008aa706512a50f837	0.87	0.561	0.31	1.129	0.714	0.415	1.273	0.723	0.55	856.975
omega_2154_19_0	omega_2154_19	8a741a1585c65a9146a9b4aa03d3671f	0.87	0.632	0.238	1.208	0.82	0.388	1.114	0.734	0.38	863.968
omega_1490_47_0	omega_1490_47	3d6b544ff6a8e5610a5107336b6d13ad	0.87	0.607	0.262	1.387	0.868	0.519	1.016	0.669	0.347	782.567
omega_760_43_0	omega_760_43	054aea56efa291389d5b622fcba8be8e	0.87	0.578	0.291	1.231	0.764	0.468	1.14	0.704	0.436	830.16
omega_2187_5_0	omega_2187_5	655428c40cf391e9e97386f7fbbfae42	0.869	0.543	0.326	1.216	0.692	0.524	1.18	0.717	0.463	850.42
omega_1512_4_0	omega_1512_4	9fc835ac03cfd45ee8d4dbe18e3205cf	0.869	0.566	0.303	1.332	0.851	0.48	1.08	0.628	0.452	733.177
omega_1963_2_0	omega_1963_2	4d4988b780759e3afa1fc0ab7609bfb6	0.869	0.625	0.245	1.393	0.89	0.503	1.0	0.677	0.323	791.142
omega_12_3_0	omega_12_3	ce711bb0aa11a51665613a1454c098bf	0.869	0.644	0.225	1.274	0.896	0.378	1.054	0.696	0.358	813.816
omega_81_5_0	omega_81_5	9fbdb212dbac357e8d1e20b5ae810a10	0.869	0.648	0.221	1.29	0.866	0.424	1.036	0.721	0.316	845.332
omega_1091_22_0	omega_1091_22	c57b594e649c0f3e03f795eaf7042304	0.869	0.58	0.289	1.207	0.775	0.433	1.163	0.698	0.465	822.104
omega_672_1_0	omega_672_1	4c3c75bac6f4e0d2bbb8ac4aa285c49a	0.869	0.598	0.272	1.219	0.793	0.426	1.136	0.708	0.428	833.512
omega_1179_2_0	omega_1179_2	e98112c05d6510b83fefa5770010ff6f	0.869	0.596	0.273	1.072	0.696	0.376	1.306	0.805	0.5	962.056
omega_2092_23_0	omega_2092_23	105b5ffd037df4d5e7ce5b3e5fe895af	0.869	0.55	0.318	1.191	0.743	0.448	1.203	0.68	0.524	800.911
omega_629_4_0	omega_629_4	33d6c38bd67e5ffc8710238b391aeb39	0.869	0.62	0.249	1.227	0.836	0.391	1.112	0.706	0.406	828.752
omega_362_17_0	omega_362_17	645d51942748da9d07fe2a89e949ff69	0.869	0.654	0.215	1.233	0.864	0.369	1.068	0.729	0.339	856.273
omega_387_15_0	omega_387_15	bc919396ff634ea9de5616a9f6886dd9	0.868	0.518	0.35	1.202	0.665	0.537	1.202	0.701	0.502	832.416
omega_280_19_0	omega_280_19	e396cd8766477597cfbaca0c983b5eea	0.868	0.639	0.23	1.213	0.793	0.42	1.102	0.766	0.336	905.179
omega_645_10_0	omega_645_10	8186806910cc2d1da46b74a69909b609	0.868	0.604	0.264	1.319	0.821	0.498	1.055	0.696	0.359	816.79
omega_1004_1_0	omega_1004_1	295f7f2f76a213bd83514979528f6803	0.868	0.621	0.247	1.217	0.828	0.39	1.116	0.713	0.402	838.457
omega_367_7_0	omega_367_7	7f8d77d01dd16fc1c055b64ec84333d6	0.868	0.549	0.319	1.201	0.716	0.485	1.184	0.702	0.482	830.47
omega_1054_40_0	omega_1054_40	704f41afe0c8ec469bd10e19080b2e66	0.868	0.604	0.264	1.2	0.805	0.396	1.15	0.708	0.442	832.224
omega_553_3_0	omega_553_3	25e085fd0311ec8329edbfcf5178cc50	0.868	0.579	0.289	1.262	0.782	0.479	1.111	0.69	0.421	811.404
omega_1036_2_0	omega_1036_2	1ae73661636ead686b984830944059af	0.867	0.622	0.246	1.403	0.912	0.492	0.991	0.661	0.329	771.435
omega_217_2_0	omega_217_2	d2a564d60ecc49d3f4c2098f7dbee9a3	0.867	0.527	0.34	1.459	0.771	0.688	1.027	0.625	0.402	732.073
omega_1265_39_0	omega_1265_39	d68c8ae470d21865adcf4472448f338d	0.867	0.577	0.29	1.17	0.736	0.434	1.193	0.728	0.465	861.236
omega_521_12_0	omega_521_12	22778e66178a297b69d8f6add154bf76	0.867	0.578	0.289	1.201	0.769	0.432	1.165	0.7	0.466	824.565
omega_16_13_0	omega_16_13	fcb2ec0baa8128701b9264ec3b990bd5	0.867	0.583	0.284	1.337	0.846	0.49	1.055	0.652	0.403	762.252
omega_1861_2_0	omega_1861_2	034e714557c983b7247dcbd9f943e5fb	0.867	0.571	0.295	1.311	0.797	0.513	1.079	0.668	0.41	784.526
omega_393_16_0	omega_393_16	299b452aab9782b1519547eaf7af3116	0.866	0.61	0.256	1.268	0.815	0.452	1.079	0.708	0.372	832.038
omega_816_12_0	omega_816_12	bffe70f83b4678a5c59a886b030d9262	0.866	0.549	0.317	1.349	0.774	0.575	1.068	0.653	0.415	766.788
omega_454_32_0	omega_454_32	a7913ae9ba1d75a6ce9b791164ad9099	0.866	0.668	0.198	1.127	0.791	0.336	1.137	0.81	0.327	960.891
omega_273_1_0	omega_273_1	12d96dcdd064d70db51688cd60c586c6	0.866	0.626	0.24	1.269	0.819	0.45	1.066	0.726	0.34	854.439
omega_911_29_0	omega_911_29	74a4de6a66481906abed32b71bca3210	0.866	0.625	0.241	1.178	0.793	0.385	1.139	0.747	0.392	881.945
omega_237_1_0	omega_237_1	9f8b9010c183d452b0202ba0aa3a0bd5	0.866	0.553	0.313	1.254	0.722	0.532	1.134	0.703	0.431	830.673
omega_696_2_0	omega_696_2	d26180832baba71faa45324570a271c1	0.866	0.525	0.341	1.178	0.715	0.463	1.227	0.664	0.563	782.97
omega_1438_23_0	omega_1438_23	51387b8d63ba83c15e7d8a2c732e6633	0.866	0.551	0.315	1.239	0.727	0.512	1.144	0.695	0.449	820.345
omega_1923_6_0	omega_1923_6	034b4dc775a4b6e02246e5dc7145f008	0.865	0.548	0.317	1.128	0.755	0.372	1.348	0.666	0.682	784.018
omega_697_14_0	omega_697_14	ca0199cff0f002c062e422c3d5aa1c2a	0.865	0.573	0.292	1.411	0.802	0.609	1.027	0.668	0.359	783.881
omega_567_49_0	omega_567_49	fd2373a28f3c9df016787dba0b1571ff	0.865	0.59	0.275	1.065	0.665	0.4	1.308	0.84	0.469	1008.933
omega_1795_4_0	omega_1795_4	5a64d492d8841da494628adf93498edd	0.865	0.583	0.282	1.276	0.772	0.504	1.095	0.704	0.391	829.446
omega_1914_22_0	omega_1914_22	29e331a49f6d99b4b796ddcd454fc881	0.865	0.571	0.294	1.236	0.74	0.497	1.134	0.715	0.419	844.585
omega_870_22_0	omega_870_22	fc0c0fb516bc605cec2b55921dc949d0	0.865	0.578	0.287	1.243	0.794	0.449	1.124	0.68	0.444	798.444
omega_594_2_0	omega_594_2	4998f5c364048ff657b048c5010f3017	0.865	0.616	0.249	1.232	0.794	0.439	1.099	0.734	0.365	865.123
omega_1313_5_0	omega_1313_5	cc1bacc97762c5ed4d41448951ee078b	0.865	0.537	0.328	1.208	0.749	0.459	1.189	0.655	0.534	769.795
omega_235_14_0	omega_235_14	574d5a97b40a98bd3c20126efc684e8f	0.865	0.588	0.277	1.292	0.748	0.543	1.094	0.733	0.361	867.235
omega_690_9_0	omega_690_9	bb8689e0ec9a92b0052b0ab607858527	0.865	0.556	0.309	1.153	0.707	0.446	1.224	0.722	0.502	856.15
omega_741_34_0	omega_741_34	78e216793e9b87f60300dcf50ffee555	0.864	0.562	0.303	1.51	0.815	0.695	0.993	0.643	0.349	753.162
omega_1693_23_0	omega_1693_23	329073f9d0370c9962ebbae0ab87e300	0.864	0.621	0.243	1.155	0.789	0.365	1.165	0.745	0.42	879.552
omega_1458_24_0	omega_1458_24	09bd34167aab1b363114098802e7c69f	0.864	0.598	0.266	1.302	0.829	0.473	1.061	0.682	0.378	800.101
omega_1443_4_0	omega_1443_4	38ebf665e2662df79d8d556e5ae674ca	0.864	0.528	0.335	1.125	0.633	0.492	1.275	0.762	0.513	912.79
omega_1067_40_0	omega_1067_40	2fd10e5eee9530ba6903811da397a7a4	0.864	0.602	0.261	1.21	0.812	0.398	1.132	0.7	0.432	822.836
omega_1850_42_0	omega_1850_42	70546d1d027b1d52070c8446541e21b0	0.864	0.561	0.303	1.229	0.746	0.483	1.141	0.693	0.448	817.749
omega_1191_3_0	omega_1191_3	9b097638dbf792962a1de8c4f6c94815	0.863	0.615	0.248	1.143	0.755	0.388	1.176	0.769	0.407	911.368
omega_31_20_0	omega_31_20	a3020fa2608d06a83afa5ceed2640595	0.863	0.549	0.314	1.291	0.789	0.502	1.1	0.643	0.457	753.592
omega_2054_23_0	omega_2054_23	94368611f6c7ae20c303ace7900bae02	0.863	0.654	0.209	1.112	0.773	0.339	1.162	0.81	0.352	961.833
omega_1786_27_0	omega_1786_27	f7824cc5afb73a19031a7b37c2e5788f	0.863	0.596	0.267	1.192	0.767	0.425	1.146	0.727	0.418	858.816
omega_1176_48_0	omega_1176_48	27d999d84ead77935929826df8a2671e	0.863	0.535	0.328	1.756	0.78	0.975	0.961	0.63	0.331	738.14
omega_1267_42_0	omega_1267_42	9580845b30fd5e1ea607b8d131357833	0.863	0.573	0.29	1.129	0.738	0.391	1.249	0.719	0.53	849.764
omega_1135_2_0	omega_1135_2	4efbdfb450d4f918dc41350d71fd9d24	0.863	0.619	0.244	1.233	0.826	0.407	1.09	0.711	0.379	835.537
omega_1108_38_0	omega_1108_38	bf23ea7d1197ca4ac34e7d6c710ec67a	0.863	0.545	0.318	1.246	0.758	0.487	1.137	0.659	0.478	774.596
omega_1421_23_0	omega_1421_23	93d78f236cf874672c7aad2426a6b66d	0.863	0.583	0.28	1.224	0.806	0.418	1.137	0.678	0.458	796.017
omega_1059_22_0	omega_1059_22	0fec166bf67764353a9c3c1e03e35eb2	0.862	0.642	0.221	1.213	0.836	0.376	1.082	0.734	0.348	863.139
omega_549_2_0	omega_549_2	a856e2382d30eb8abfcc55da15310b09	0.862	0.553	0.309	1.223	0.771	0.451	1.157	0.662	0.495	777.29
omega_2114_17_0	omega_2114_17	e83e5211218271465d6e0c46bcce6d7e	0.862	0.591	0.271	1.221	0.796	0.425	1.125	0.697	0.428	819.642
omega_1866_10_0	omega_1866_10	07c748d5ccf97b21b6c50fd4342c0cb4	0.862	0.601	0.261	1.229	0.826	0.403	1.113	0.688	0.425	807.188
omega_1722_28_0	omega_1722_28	3990d9452d782c3008c34c17af51dd26	0.862	0.607	0.255	1.429	0.92	0.51	0.979	0.64	0.338	745.818
omega_1281_35_0	omega_1281_35	887e0e5b82bb7a4aa7de847624c30839	0.861	0.511	0.35	1.285	0.737	0.548	1.118	0.625	0.493	734.25
omega_1509_17_0	omega_1509_17	62f23e36762f8ea59ab946bcd750577d	0.861	0.612	0.25	1.18	0.8	0.381	1.143	0.722	0.42	850.936
omega_771_12_0	omega_771_12	b2502a69aabd61d85006f1ef87c6838f	0.861	0.615	0.247	1.237	0.816	0.421	1.087	0.714	0.373	839.106
omega_803_39_0	omega_803_39	e291c498fcd97fbd4e412314d0e0af1c	0.861	0.569	0.292	1.237	0.781	0.455	1.126	0.676	0.45	794.816
omega_528_25_0	omega_528_25	c83d42f234dca4266ead0edc5df1209d	0.861	0.533	0.328	1.381	0.802	0.579	1.045	0.614	0.43	718.277
omega_1984_8_0	omega_1984_8	f1d803a3797d893d33e2cf1065fe54a7	0.861	0.553	0.308	1.272	0.754	0.518	1.106	0.674	0.432	793.572
omega_731_19_0	omega_731_19	f54e996a2318989a112b96c5eb99da6c	0.861	0.553	0.308	1.287	0.727	0.56	1.104	0.699	0.406	825.417
omega_1737_12_0	omega_1737_12	b6493e3b3fb2cca952f62f7353824173	0.861	0.509	0.351	1.325	0.704	0.621	1.095	0.648	0.447	764.509
omega_1195_22_0	omega_1195_22	f1b0d4056d3a90e21f976299d566923d	0.86	0.581	0.279	1.222	0.8	0.422	1.132	0.68	0.452	798.7
omega_2111_33_0	omega_2111_33	9fbffd27ba85f0ae32cb1b4b02de7faa	0.86	0.557	0.303	1.254	0.73	0.524	1.119	0.701	0.418	828.089
omega_1476_26_0	omega_1476_26	9e838bf72f5add7f7af09a84e1c78e10	0.86	0.591	0.269	1.115	0.707	0.408	1.224	0.782	0.443	930.863
omega_288_1_0	omega_288_1	ba82565cf20fa94b1a00626db0034e3c	0.86	0.549	0.311	1.284	0.818	0.466	1.108	0.625	0.483	730.448
omega_1934_1_0	omega_1934_1	af090995857852d5b74272a1f35da87a	0.86	0.581	0.279	1.221	0.792	0.43	1.129	0.685	0.443	805.629
omega_358_11_0	omega_358_11	bf2c25b6300809f88d1a0e0c54254dad	0.86	0.607	0.252	1.264	0.872	0.392	1.081	0.667	0.414	779.652
omega_937_20_0	omega_937_20	b9196fd204a2f4aa570f236966a3184c	0.86	0.523	0.336	1.164	0.691	0.473	1.221	0.683	0.538	808.245
omega_1103_10_0	omega_1103_10	1a5e6943061165b95e6bc2e3b0cf0369	0.86	0.676	0.183	1.148	0.821	0.326	1.087	0.793	0.294	937.35
omega_1074_8_0	omega_1074_8	06b721a7b970a90052a9d52ae7ea615b	0.859	0.577	0.282	1.273	0.788	0.485	1.086	0.683	0.403	803.214
omega_441_23_0	omega_441_23	a60658bf5ca7cca843367188970e278a	0.859	0.55	0.309	1.283	0.793	0.49	1.098	0.642	0.456	752.319
omega_1616_19_0	omega_1616_19	5b7eab3c27c334dbad7d266f72e1bcbe	0.859	0.548	0.312	1.017	0.619	0.398	1.415	0.826	0.589	996.706
omega_241_7_0	omega_241_7	c245b3473d13b8917f22b73542c9500c	0.859	0.522	0.337	1.44	0.809	0.631	1.015	0.596	0.419	695.468
omega_242_26_0	omega_242_26	ad865693ab2e4877fb74a761ef13bec1	0.859	0.587	0.272	1.212	0.768	0.443	1.126	0.714	0.412	842.297
omega_1618_43_0	omega_1618_43	3419e95f40cea281c6745bae7faaa7cd	0.859	0.585	0.274	1.151	0.744	0.407	1.188	0.733	0.456	866.65
omega_2125_16_0	omega_2125_16	d6bfc87d6a987bc13f0241e2f237817d	0.858	0.57	0.288	1.183	0.737	0.446	1.165	0.716	0.449	845.98
omega_810_19_0	omega_810_19	74615506af871a974ba7f522756b3a95	0.858	0.522	0.336	1.342	0.761	0.581	1.068	0.624	0.444	731.813
omega_2117_12_0	omega_2117_12	4be5683bcb3b93d69db7a837c8ea4ab5	0.858	0.65	0.208	1.188	0.806	0.382	1.084	0.77	0.314	909.666
omega_2126_8_0	omega_2126_8	bcf44718b592c8af1cd2687722405e11	0.858	0.639	0.219	1.294	0.873	0.421	1.018	0.704	0.313	825.359
omega_1159_28_0	omega_1159_28	a13916a9a6848b4e90a4b20ea333efee	0.858	0.577	0.281	1.465	0.87	0.595	0.979	0.632	0.347	736.714
