Molecule	OriginalName	Hash	ComboTanimoto	ShapeTanimoto	ColorTanimoto	FitTverskyCombo	FitTversky	FitColorTversky	RefTverskyCombo	RefTversky	RefColorTversky	Overlap
omega_1371_21_0	omega_1371_21	b245f9d8b93d4c95121a8e21e5149e5e	0.861	0.715	0.146	1.295	1.012	0.283	0.94	0.709	0.231	894.201
omega_232_49_0	omega_232_49	ca4abb529c5381d2839d47b558b867c2	0.861	0.653	0.208	1.328	0.91	0.418	0.99	0.698	0.292	883.428
omega_2585_14_0	omega_2585_14	207f913ca6c9dc5790b8f92f94d613b1	0.861	0.689	0.172	1.233	0.91	0.323	1.008	0.739	0.269	937.263
omega_266_44_0	omega_266_44	0281b7722cb6429b176ea24df239e81d	0.861	0.588	0.273	1.399	0.884	0.515	1.004	0.637	0.367	803.887
omega_2237_36_0	omega_2237_36	9d5bb1adc232aa9963c5fff598b670b7	0.86	0.616	0.244	1.232	0.777	0.455	1.094	0.748	0.345	957.181
omega_995_1_0	omega_995_1	a124c8a8ca37aed34691b6a773bc24f8	0.86	0.66	0.2	1.203	0.846	0.358	1.063	0.751	0.312	956.432
omega_1556_40_0	omega_1556_40	541bbd76c88387831f94f1edca0dbf49	0.86	0.562	0.299	1.439	0.864	0.575	0.999	0.616	0.383	777.673
omega_135_3_0	omega_135_3	1701ad1d9a1bbc3f0e14ba98b384bf04	0.86	0.631	0.229	1.32	0.828	0.492	1.026	0.726	0.3	924.94
omega_1738_32_0	omega_1738_32	239967f9afd9fb7a7658f3b90d4889bb	0.86	0.542	0.318	1.416	0.826	0.589	1.02	0.612	0.408	773.262
omega_2367_8_0	omega_2367_8	bd25ed4bb63dac06fa461818284485d5	0.86	0.604	0.256	1.634	0.932	0.702	0.919	0.632	0.288	795.273
omega_1822_11_0	omega_1822_11	25e4c334f603b3512b9b591ed69b6f6d	0.86	0.661	0.199	1.267	0.83	0.438	1.032	0.765	0.267	975.972
omega_2156_43_0	omega_2156_43	0c59dde2256e717bf53d2fc1794d644f	0.86	0.675	0.185	1.3	0.916	0.384	0.982	0.719	0.263	911.017
omega_3143_20_0	omega_3143_20	83517a8203c57d438e94cbd3e516c79c	0.86	0.62	0.24	1.484	0.937	0.546	0.946	0.647	0.299	815.173
omega_837_45_0	omega_837_45	348aaf74742f89d96b26dc471f098625	0.86	0.648	0.212	1.412	0.869	0.543	0.976	0.718	0.258	911.886
omega_852_7_0	omega_852_7	5896c124b499cd179996e0db23db4811	0.86	0.621	0.238	1.34	0.83	0.511	1.021	0.713	0.308	906.243
omega_1415_13_0	omega_1415_13	19ec1dc2ce8ed4ff533ccb5efe4d338e	0.86	0.621	0.238	1.456	0.906	0.55	0.96	0.664	0.296	838.568
omega_2104_6_0	omega_2104_6	81e3049cba1d1f30d2f054b3ef23a9c4	0.86	0.634	0.226	1.241	0.805	0.436	1.068	0.749	0.319	955.937
omega_519_14_0	omega_519_14	0ad30825b4af065321ead409d1c4e571	0.859	0.607	0.253	1.309	0.814	0.495	1.045	0.704	0.341	896.112
omega_3287_8_0	omega_3287_8	dc3df1aa5194c54498cccfe28064136b	0.859	0.645	0.215	1.244	0.883	0.36	1.052	0.705	0.347	893.371
omega_1340_10_0	omega_1340_10	1f92761d2b5e6bae982cd554b09e5bc7	0.859	0.649	0.211	1.398	0.889	0.509	0.97	0.706	0.264	894.655
omega_444_24_0	omega_444_24	232b84300c515e8ecdfab5bd800578ab	0.859	0.607	0.252	1.2	0.764	0.436	1.121	0.747	0.374	955.994
omega_790_13_0	omega_790_13	3faf48b1693b6a1cbf2d497b014455e1	0.859	0.586	0.273	1.305	0.789	0.516	1.062	0.694	0.367	884.355
omega_1976_9_0	omega_1976_9	0567cf24ef104e17cda6603fe08c0baf	0.859	0.58	0.279	1.417	0.824	0.592	1.007	0.661	0.346	838.723
omega_151_5_0	omega_151_5	1bd6cc9bf3f4b2c7ccffdc1a013bff74	0.859	0.685	0.174	1.38	0.92	0.46	0.947	0.728	0.218	923.126
omega_1065_44_0	omega_1065_44	2d83bd35fb2d190ee4a9f9f206203c27	0.859	0.613	0.245	1.241	0.789	0.452	1.083	0.734	0.349	937.139
omega_2219_50_0	omega_2219_50	4c6ad2867b492199b33600fccaf796d5	0.859	0.592	0.267	1.446	0.846	0.601	0.988	0.664	0.324	840.61
omega_576_3_0	omega_576_3	b88309899b5f8f049dff5e270eb60b38	0.859	0.612	0.247	1.39	0.889	0.502	0.99	0.663	0.327	837.979
omega_1090_47_0	omega_1090_47	32a2f733c70f0b463898d846426948c1	0.859	0.6	0.259	1.344	0.834	0.509	1.026	0.681	0.345	864.15
omega_251_39_0	omega_251_39	575bcf541e6c77e3aa18f29ba38cda1a	0.859	0.655	0.204	1.594	0.934	0.66	0.914	0.687	0.227	867.801
omega_2491_23_0	omega_2491_23	8d4aec84c676a73d3a195c0cfb47edba	0.858	0.675	0.183	1.281	0.897	0.385	0.991	0.732	0.259	929.236
omega_2604_6_0	omega_2604_6	ed62d93a218e5dca182fa4f814f09fbd	0.858	0.636	0.222	1.241	0.812	0.429	1.062	0.746	0.316	951.345
omega_1899_1_0	omega_1899_1	4b595473901f515f1ae092fca5046841	0.858	0.648	0.21	1.264	0.858	0.407	1.029	0.726	0.303	923.384
omega_1632_31_0	omega_1632_31	5a9190c80fdd54b9a0857636b0c5874c	0.858	0.652	0.206	1.217	0.834	0.382	1.058	0.749	0.309	954.92
omega_647_16_0	omega_647_16	1d987c51d9eaaa56c1bb7f10edae7361	0.858	0.668	0.19	1.323	0.871	0.452	0.988	0.741	0.247	941.792
omega_795_15_0	omega_795_15	6a5c7d8ab25cabba249340b4a794c4d7	0.858	0.654	0.204	1.282	0.86	0.422	1.015	0.731	0.284	929.435
omega_2561_9_0	omega_2561_9	5e5af19fef1d3e88ed2fa8e313f517fd	0.858	0.634	0.224	1.254	0.814	0.44	1.055	0.741	0.314	945.232
omega_1747_3_0	omega_1747_3	83a288bad8ea0f6e86744dbde28eeeed	0.858	0.566	0.292	1.367	0.76	0.608	1.049	0.689	0.36	878.549
omega_3420_27_0	omega_3420_27	d528e5cab3300dc0392ad36e84f63aaf	0.858	0.618	0.24	1.382	0.84	0.542	1.001	0.7	0.301	889.057
omega_957_7_0	omega_957_7	1947ed561be26b0a71c491ca1e81e877	0.858	0.652	0.206	1.35	0.866	0.484	0.989	0.725	0.264	920.643
omega_705_12_0	omega_705_12	8e2a275065f366dedb8e875d7e3037da	0.858	0.63	0.227	1.424	0.915	0.509	0.961	0.67	0.291	845.757
omega_271_13_0	omega_271_13	e35bb8bc5bfd1c6b5b86af56da875bee	0.858	0.587	0.271	1.203	0.768	0.435	1.131	0.714	0.417	911.08
omega_1804_28_0	omega_1804_28	e63bb45c927cc0ae326234e6f5c9c3c1	0.857	0.617	0.24	1.304	0.83	0.474	1.034	0.707	0.327	898.317
omega_3025_46_0	omega_3025_46	e595af35530507f213bbcae169f08a9f	0.857	0.688	0.17	1.274	0.887	0.387	0.986	0.754	0.232	958.015
omega_523_20_0	omega_523_20	492b1883e36b5859a2d3e5e8175d9596	0.857	0.648	0.209	1.162	0.817	0.345	1.104	0.758	0.346	968.039
omega_2190_6_0	omega_2190_6	d1aaae08d05a9e901ad0468143fe8df8	0.857	0.579	0.278	1.352	0.801	0.551	1.036	0.676	0.36	859.283
omega_3030_30_0	omega_3030_30	339fd735764b67f6ded30f770f78639f	0.857	0.607	0.251	1.351	0.818	0.533	1.022	0.701	0.321	891.643
omega_1602_31_0	omega_1602_31	378e5968f30a90fe86a12012beec109a	0.857	0.613	0.244	1.343	0.883	0.46	1.009	0.667	0.341	844.167
omega_1992_2_0	omega_1992_2	ed9350840cff4b433e2644b292ee8561	0.857	0.606	0.251	1.275	0.816	0.458	1.058	0.702	0.356	893.177
omega_818_47_0	omega_818_47	52c77ee5567f0852b6c29bfbe6b7ff54	0.857	0.613	0.243	1.246	0.799	0.447	1.073	0.725	0.348	925.089
omega_878_27_0	omega_878_27	5cce49dcae1058c3a67688bccbcf57d9	0.857	0.616	0.241	1.38	0.83	0.55	1.005	0.705	0.3	896.078
omega_507_6_0	omega_507_6	32f6f8cc00e92bfded60e2a43dc1c0c7	0.857	0.698	0.158	1.259	0.895	0.364	0.98	0.761	0.219	967.144
omega_2013_7_0	omega_2013_7	1416f08e1a5af7be864dcaf01293b40d	0.857	0.63	0.227	1.372	0.88	0.492	0.985	0.689	0.296	872.929
omega_2838_29_0	omega_2838_29	340a0d956469496bb15e3a96bbb2d69b	0.856	0.628	0.229	1.268	0.795	0.473	1.056	0.749	0.307	957.341
omega_2250_13_0	omega_2250_13	c26b9e1493b49b6c3ac4a3e96df62f8c	0.856	0.594	0.263	1.232	0.792	0.44	1.098	0.704	0.394	896.356
omega_2610_8_0	omega_2610_8	ce0a92a1735977d3534d4b2edea238b2	0.856	0.616	0.24	1.281	0.856	0.424	1.043	0.687	0.357	870.863
omega_1547_43_0	omega_1547_43	42ed2b67cddae0cddd69c100c85158b6	0.856	0.649	0.207	1.253	0.833	0.42	1.036	0.746	0.29	951.051
omega_1185_4_0	omega_1185_4	07eafbeeb38c8d9fc1499e06ffcf6a74	0.856	0.64	0.216	1.57	0.978	0.592	0.903	0.65	0.254	817.463
omega_128_9_0	omega_128_9	66bbc25e6ebc2c75774dca690bdfac17	0.856	0.575	0.281	1.461	0.839	0.622	0.985	0.646	0.339	817.573
omega_1943_35_0	omega_1943_35	6ed4e85c6df0c3a07c272036e4bc8852	0.856	0.549	0.307	1.287	0.726	0.561	1.096	0.692	0.404	884.786
omega_2857_13_0	omega_2857_13	aa8470c9baeeebbee93ea514fec1fa5a	0.856	0.663	0.192	1.265	0.888	0.377	1.006	0.724	0.282	918.465
omega_1761_35_0	omega_1761_35	c1fa0896dea879a0aee5f03f08ede0f0	0.856	0.651	0.205	1.239	0.872	0.367	1.036	0.719	0.316	913.273
omega_1619_1_0	omega_1619_1	d71c2aff333bc8eeb6aa48d346756fe3	0.856	0.618	0.237	1.417	0.874	0.543	0.975	0.679	0.296	859.833
omega_3217_30_0	omega_3217_30	e07fb59f2e382f5871204a28c57193e7	0.856	0.579	0.276	1.297	0.775	0.522	1.066	0.696	0.37	887.382
omega_66_2_0	omega_66_2	972dafbfce6d5c4e1c02bc67bfb39ed9	0.855	0.583	0.272	1.44	0.86	0.58	0.983	0.645	0.339	814.841
omega_750_10_0	omega_750_10	8338be301e016f86fc3d909a0d38f5fd	0.855	0.643	0.212	1.3	0.866	0.434	1.007	0.715	0.293	907.212
omega_2874_49_0	omega_2874_49	28420f5285f544299dc0446598a3a8ce	0.855	0.659	0.196	1.283	0.887	0.396	1.0	0.719	0.281	911.922
omega_3419_32_0	omega_3419_32	ddb4e85402c14e3956695e8f47881e33	0.855	0.628	0.228	1.261	0.814	0.447	1.05	0.733	0.317	934.089
omega_2452_10_0	omega_2452_10	6f03ec6ef5e9c9c4b27fc514cd46349f	0.855	0.621	0.234	1.336	0.837	0.499	1.012	0.707	0.305	898.046
omega_3405_7_0	omega_3405_7	4612b1163f9c5202c4acdf5d9c3bc601	0.855	0.618	0.237	1.437	0.926	0.51	0.957	0.65	0.307	819.243
omega_2598_32_0	omega_2598_32	4ad3ce87e1f1a361e7984c4b5a343014	0.855	0.611	0.244	1.417	0.895	0.522	0.972	0.658	0.315	830.974
omega_986_11_0	omega_986_11	6fe5488cce5c2121c083b99d9d3c5f11	0.855	0.57	0.284	1.336	0.829	0.508	1.039	0.647	0.393	819.049
omega_581_36_0	omega_581_36	dac64d6a086b03889bcfbcdd6cdb6ac2	0.855	0.641	0.214	1.25	0.836	0.414	1.04	0.733	0.307	932.809
omega_3013_10_0	omega_3013_10	ad7461dff2808b03a16d318400c3156d	0.855	0.633	0.222	1.201	0.83	0.371	1.083	0.726	0.356	924.68
omega_2462_37_0	omega_2462_37	2d38f49239baf322d29f36dd9e308f04	0.854	0.636	0.219	1.227	0.818	0.409	1.06	0.74	0.32	943.736
omega_2150_10_0	omega_2150_10	f0746e3d96e273ddb9faa48c5be1da15	0.854	0.567	0.287	1.383	0.79	0.593	1.025	0.667	0.358	848.198
omega_1610_50_0	omega_1610_50	0b1fdbc4cc8f8d9359ed2c1fc6cff57d	0.854	0.618	0.236	1.418	0.894	0.524	0.967	0.667	0.3	842.998
omega_2257_23_0	omega_2257_23	0f6dabf0013df0c7d4f7fada010e8187	0.854	0.668	0.186	1.221	0.835	0.386	1.033	0.77	0.263	982.613
omega_1843_2_0	omega_1843_2	5a90eb4aab4231ea5abd80be56859028	0.854	0.599	0.255	1.346	0.853	0.493	1.013	0.669	0.345	846.951
omega_2396_37_0	omega_2396_37	7eac3e2fb8343259ec0e66f61cad3a55	0.854	0.627	0.226	1.305	0.871	0.434	1.013	0.692	0.321	877.038
omega_682_32_0	omega_682_32	55d246d48f9638597c7990cb97644d5f	0.854	0.641	0.213	1.315	0.879	0.436	0.996	0.702	0.294	890.295
omega_3213_46_0	omega_3213_46	6aa79cbab611da1de47bae605be9f204	0.854	0.699	0.155	1.199	0.867	0.332	1.007	0.783	0.224	998.217
omega_3490_15_0	omega_3490_15	a2ec9fcbb337dd9410e38b6f9eee892c	0.854	0.65	0.203	1.235	0.842	0.393	1.037	0.741	0.297	943.327
omega_3305_3_0	omega_3305_3	ba9aad45ed531c69b367b8af063637c0	0.853	0.541	0.313	1.585	0.904	0.681	0.94	0.574	0.366	720.601
omega_1785_11_0	omega_1785_11	1ae988d6c8275e5bc5c96ccd439bbabf	0.853	0.621	0.233	1.298	0.865	0.433	1.022	0.687	0.335	870.688
omega_2319_43_0	omega_2319_43	5b5a2d88f901cfee6965a8e580fa5c72	0.853	0.558	0.295	1.275	0.763	0.513	1.086	0.676	0.41	860.789
omega_3031_1_0	omega_3031_1	e8c7cd876145082e040c5f17fb236a70	0.853	0.56	0.293	1.57	0.865	0.705	0.948	0.614	0.334	774.245
omega_1174_13_0	omega_1174_13	f28308633463056ec90925e350c39dc9	0.853	0.648	0.206	1.124	0.772	0.352	1.132	0.801	0.331	1028.929
omega_671_11_0	omega_671_11	2c8bf6141aa5a440ec93a686105f49ba	0.853	0.607	0.246	1.173	0.773	0.399	1.129	0.739	0.391	944.468
omega_253_1_0	omega_253_1	3a69ba6ff629986f47b5b9ec62ca774c	0.853	0.605	0.248	1.298	0.861	0.437	1.035	0.67	0.365	848.904
omega_3132_28_0	omega_3132_28	528f5e4c2ad9c15954d0142b2a6e3ef8	0.853	0.584	0.269	1.399	0.841	0.558	0.999	0.657	0.342	831.576
omega_2669_1_0	omega_2669_1	f1f4c74c6cffb93ad4e3af6806034245	0.853	0.656	0.197	1.258	0.843	0.415	1.02	0.747	0.273	951.657
omega_625_19_0	omega_625_19	b6c672d79ba79ba9fe2656d3d248894c	0.853	0.531	0.322	1.389	0.79	0.598	1.029	0.618	0.411	782.103
omega_2555_3_0	omega_2555_3	0ade6b41f72c3549c4897e771dc84831	0.853	0.599	0.254	1.397	0.872	0.525	0.986	0.657	0.329	830.572
omega_2162_25_0	omega_2162_25	8db1da02520a00a8eaeb9d85186de7f2	0.853	0.622	0.231	1.172	0.787	0.384	1.114	0.748	0.366	955.677
omega_2590_6_0	omega_2590_6	591a71a43532d5dc61222fb2984c9192	0.853	0.604	0.248	1.439	0.878	0.561	0.968	0.659	0.308	833.822
omega_1545_8_0	omega_1545_8	7cf7c114d7edfc0285a0931e72717a66	0.853	0.638	0.214	1.324	0.859	0.465	0.997	0.713	0.284	905.365
omega_2971_17_0	omega_2971_17	865193fa02f82e98fc457d14b66807cd	0.852	0.645	0.207	1.164	0.791	0.373	1.096	0.778	0.319	995.905
omega_304_16_0	omega_304_16	180518567f2c1d70905f9ebea948aecf	0.852	0.682	0.171	1.391	0.978	0.413	0.918	0.692	0.225	873.358
omega_2000_19_0	omega_2000_19	751c5528da3ba66ec9d8f518c829e09b	0.852	0.656	0.196	1.266	0.89	0.376	1.005	0.715	0.29	906.021
omega_1557_18_0	omega_1557_18	2f54e0e1600f6b8be2e335985b64699a	0.852	0.662	0.19	1.078	0.749	0.329	1.161	0.85	0.311	1098.086
omega_668_23_0	omega_668_23	1612361cff2ab2c02c7802f720dd6693	0.852	0.619	0.233	1.318	0.807	0.51	1.027	0.726	0.301	925.52
omega_2395_3_0	omega_2395_3	2415b13bf4db0d790ae289f45ed5fe51	0.852	0.642	0.21	1.267	0.879	0.388	1.019	0.704	0.315	892.918
omega_835_7_0	omega_835_7	35916b57ac8688771d1e51174ecdebae	0.852	0.57	0.282	1.515	0.891	0.623	0.953	0.613	0.34	772.144
omega_3036_19_0	omega_3036_19	57562b17747abd85be2bae46533574b0	0.852	0.542	0.31	1.522	0.829	0.693	0.97	0.61	0.36	770.489
omega_279_14_0	omega_279_14	8106a26fd8464199dca6c36867f9c7c4	0.852	0.618	0.234	1.347	0.902	0.445	0.993	0.663	0.33	837.554
omega_2239_28_0	omega_2239_28	830c08fedb30608f25f541c6a117c440	0.852	0.622	0.23	1.436	0.837	0.598	0.98	0.707	0.273	898.73
omega_8_35_0	omega_8_35	d00d90ec6103538f31f172fd8925c8d0	0.852	0.666	0.186	1.226	0.83	0.396	1.031	0.771	0.26	984.239
omega_3326_19_0	omega_3326_19	46fa0484e6a0eb5812c5b8b0ee7708b8	0.852	0.656	0.196	1.381	0.902	0.479	0.955	0.707	0.249	895.138
omega_1968_15_0	omega_1968_15	86a895414b2945c7e2d0ae3a318770d5	0.852	0.638	0.214	1.179	0.777	0.402	1.095	0.78	0.314	1000.653
omega_602_20_0	omega_602_20	1b86815074ccbb301af035041091d974	0.852	0.593	0.258	1.355	0.833	0.522	1.012	0.673	0.338	854.254
omega_348_6_0	omega_348_6	4bcea997855386e238632965cb8bce6b	0.852	0.626	0.225	1.327	0.789	0.538	1.032	0.752	0.279	961.981
omega_1378_4_0	omega_1378_4	e0624ff663f0fdd3ed29f411a8269355	0.851	0.587	0.264	1.449	0.852	0.597	0.976	0.654	0.322	827.517
omega_2124_2_0	omega_2124_2	ba2d44ac3072958b166c056c3d71f1b9	0.851	0.674	0.178	1.259	0.888	0.371	0.99	0.736	0.254	934.917
omega_2330_12_0	omega_2330_12	116b28546f2632947cf3b0b4250b53ae	0.851	0.633	0.218	1.186	0.784	0.401	1.09	0.766	0.323	981.243
omega_1916_3_0	omega_1916_3	399d0b310610d6cee478d7db668e3fe6	0.851	0.656	0.195	1.145	0.794	0.351	1.095	0.791	0.305	1013.44
omega_1404_1_0	omega_1404_1	9b4f76e2def5a026cc80fbc358f5322d	0.851	0.601	0.25	1.358	0.836	0.523	1.005	0.681	0.324	863.925
omega_844_30_0	omega_844_30	342379a3f4ab013bbb66e3c48c1ffb2d	0.851	0.616	0.235	1.246	0.801	0.445	1.059	0.727	0.332	927.505
omega_1075_10_0	omega_1075_10	2fabbd01a95e6274b7cabc64e1dbec28	0.851	0.637	0.214	1.261	0.864	0.397	1.024	0.708	0.316	898.6
omega_1336_8_0	omega_1336_8	31e3694d2620b78c953b5e73713f6bb5	0.85	0.559	0.292	1.282	0.87	0.412	1.109	0.61	0.5	768.841
omega_1066_37_0	omega_1066_37	e3ee6fab808ccfbcef75236d4c557c23	0.85	0.633	0.218	1.103	0.77	0.333	1.166	0.78	0.386	1000.533
omega_901_29_0	omega_901_29	66b456636687430eddd7e064e10c2966	0.85	0.588	0.262	1.455	0.892	0.563	0.962	0.633	0.33	798.108
omega_1036_44_0	omega_1036_44	773fd0b8c1db4a56082c33e12f0eeb0f	0.85	0.626	0.224	1.256	0.85	0.406	1.037	0.704	0.332	894.112
omega_2708_14_0	omega_2708_14	04d88aab9faac0b9cb9a0f4aa80aa880	0.85	0.584	0.266	1.406	0.845	0.561	0.99	0.654	0.336	828.125
omega_1049_21_0	omega_1049_21	902baa94f24418d1af45d5ee35f08d7a	0.85	0.588	0.262	1.442	0.862	0.58	0.972	0.648	0.324	819.931
omega_659_3_0	omega_659_3	82b0a040101469a54efa34921457e699	0.85	0.637	0.213	1.253	0.806	0.447	1.041	0.752	0.289	960.967
omega_2168_50_0	omega_2168_50	d0e3441bf38a5f90aa2b2c3078b68da4	0.85	0.611	0.239	1.312	0.839	0.474	1.018	0.692	0.326	878.264
omega_1306_16_0	omega_1306_16	392656a283cc656eb81e7da398a3c52b	0.85	0.622	0.228	1.364	0.904	0.46	0.977	0.666	0.311	841.798
omega_1905_32_0	omega_1905_32	fcb5447eb36925ad8a7eb2ef9d39aa0f	0.85	0.657	0.193	1.119	0.785	0.334	1.115	0.801	0.314	1027.966
omega_2688_13_0	omega_2688_13	ca88b19d5caa4a9cc81398464f2435d4	0.85	0.646	0.204	1.305	0.86	0.445	0.995	0.722	0.273	917.505
omega_938_4_0	omega_938_4	e8c026bd5273d150ad2d7cfd98045e87	0.85	0.62	0.23	1.401	0.876	0.525	0.97	0.68	0.29	860.397
omega_293_44_0	omega_293_44	8aaa76e20c6d23b486d7130cf4afa90b	0.849	0.646	0.204	1.272	0.9	0.372	1.006	0.696	0.31	880.565
omega_1260_46_0	omega_1260_46	f8a5a39cd384ea8fd7e42f9486fe9d85	0.849	0.585	0.264	1.422	0.859	0.562	0.979	0.647	0.332	818.183
omega_2372_13_0	omega_2372_13	1dd17103a3009a68692f721fe8ef09f3	0.849	0.626	0.223	1.232	0.794	0.438	1.06	0.747	0.313	954.042
omega_2005_22_0	omega_2005_22	aa931628ebcb10b26626731f07cf0058	0.849	0.64	0.209	1.266	0.818	0.448	1.028	0.746	0.282	951.438
omega_2767_6_0	omega_2767_6	8d8a1581691f95cbadaa3b33c34fc72b	0.849	0.646	0.203	1.245	0.868	0.378	1.022	0.716	0.306	909.173
omega_3116_10_0	omega_3116_10	10cf629c5059a974a61c4837fd78eecb	0.849	0.609	0.24	1.521	0.918	0.602	0.929	0.644	0.285	811.604
omega_1927_1_0	omega_1927_1	fb7769102be686a1d1541053b7036281	0.849	0.58	0.269	1.384	0.869	0.515	0.996	0.636	0.36	803.017
omega_51_14_0	omega_51_14	93b65035246fe35c1c6401918b8eba9f	0.849	0.617	0.232	1.385	0.892	0.492	0.972	0.666	0.305	842.344
omega_1568_9_0	omega_1568_9	b5a3e0af09082793ba32c3650c8883e9	0.849	0.576	0.273	1.215	0.754	0.461	1.11	0.709	0.401	905.889
omega_2967_10_0	omega_2967_10	03526d630447638a0513e59c9365f1fe	0.849	0.572	0.277	1.141	0.728	0.413	1.183	0.727	0.456	932.118
omega_1119_45_0	omega_1119_45	7930a0f23c08a8b3973cec51aac932c8	0.849	0.643	0.206	1.213	0.803	0.41	1.055	0.763	0.292	975.175
omega_1836_33_0	omega_1836_33	7e7440a917bbc0c6b5fca9ee1f708134	0.849	0.553	0.296	1.5	0.928	0.572	0.957	0.578	0.38	725.173
omega_2938_25_0	omega_2938_25	52ade630d01b83003ff0b468d6de96a0	0.848	0.596	0.252	1.48	0.859	0.621	0.959	0.661	0.298	836.836
omega_2082_3_0	omega_2082_3	cc0fb44594d778213245a0ee9a950503	0.848	0.63	0.218	1.437	0.931	0.506	0.939	0.661	0.278	833.958
omega_2729_22_0	omega_2729_22	d76206b2f2d857d514b1877a5604d639	0.848	0.549	0.3	1.364	0.792	0.572	1.028	0.641	0.386	813.128
omega_2092_36_0	omega_2092_36	63781f44a16d59bb26be26d95d56c4aa	0.848	0.673	0.175	1.42	0.955	0.464	0.915	0.695	0.22	876.988
omega_2542_47_0	omega_2542_47	fefdb236eb8340b7ede544e3dbd065e2	0.848	0.61	0.238	1.071	0.716	0.355	1.224	0.805	0.419	1038.734
omega_609_3_0	omega_609_3	9e9b515de9d8bd2c4c90910075abfa0a	0.848	0.591	0.257	1.388	0.848	0.539	0.99	0.661	0.329	837.374
omega_1385_10_0	omega_1385_10	703eada957d2add3d2a570301dcae5bd	0.848	0.626	0.222	1.219	0.818	0.401	1.06	0.727	0.333	926.244
omega_1277_40_0	omega_1277_40	a5a6848d9bbf8ca954660e32f4c0bc51	0.848	0.607	0.241	1.308	0.882	0.426	1.017	0.661	0.357	835.153
omega_2642_8_0	omega_2642_8	90de20b0ff3cc7643c5f9dbfd8093650	0.848	0.69	0.158	1.158	0.844	0.314	1.033	0.79	0.242	1009.542
omega_2751_15_0	omega_2751_15	5fb3b04515abd4ac0d573f744364ee11	0.848	0.668	0.18	1.331	0.949	0.381	0.946	0.693	0.254	875.013
omega_601_35_0	omega_601_35	30f18f3f9d95e202c48124022e51958a	0.848	0.628	0.219	1.156	0.783	0.373	1.108	0.761	0.348	973.63
omega_3416_26_0	omega_3416_26	8dfe35f360ca93d867e811f8667de318	0.848	0.628	0.22	1.224	0.8	0.424	1.058	0.744	0.313	950.36
omega_2225_48_0	omega_2225_48	f13231bc08ebd0293bf6d6c190efbb4f	0.847	0.622	0.226	1.368	0.913	0.455	0.97	0.661	0.309	834.542
omega_3303_40_0	omega_3303_40	61700c166fe8a4c72007bbe57f97b6b2	0.847	0.704	0.143	1.186	0.847	0.34	1.006	0.807	0.199	1031.549
omega_2425_1_0	omega_2425_1	52865e6d79459e7ce376a60ffc0db780	0.847	0.631	0.217	1.166	0.784	0.382	1.097	0.763	0.333	977.036
omega_52_35_0	omega_52_35	856e17105b7d5f22ee82f90f42d5b8d1	0.847	0.677	0.17	1.359	0.91	0.449	0.94	0.726	0.214	920.251
omega_3485_7_0	omega_3485_7	d58f3d3ebbd470b90fc0fd64de6c200d	0.847	0.559	0.288	1.443	0.849	0.595	0.979	0.621	0.358	784.797
omega_717_43_0	omega_717_43	b34aa67e1729ed6e2ca60198cb8233d3	0.847	0.635	0.212	1.107	0.748	0.359	1.149	0.807	0.342	1039.667
omega_381_6_0	omega_381_6	3ed2295f5eec8cb5d90be63f396c1377	0.847	0.595	0.252	1.223	0.785	0.439	1.083	0.711	0.372	906.367
omega_763_4_0	omega_763_4	45a83f55879d747a100984d641c5c30c	0.847	0.637	0.21	1.338	0.858	0.48	0.983	0.712	0.271	904.362
omega_127_9_0	omega_127_9	0d5ab7239fec434a44edb21a37054de3	0.847	0.719	0.127	1.172	0.875	0.297	0.984	0.802	0.182	1023.258
omega_2723_5_0	omega_2723_5	e46a39c94100eeb1c91b5e23eb9be36c	0.846	0.716	0.131	1.207	0.902	0.304	0.962	0.776	0.186	987.044
omega_1230_38_0	omega_1230_38	5fff18b243d1e8d1f9900c351d86c45f	0.846	0.601	0.245	1.11	0.68	0.43	1.201	0.837	0.364	1087.195
omega_3361_4_0	omega_3361_4	e39d4e767384186d8761c3926f3daea0	0.846	0.627	0.219	1.121	0.774	0.347	1.141	0.768	0.373	984.118
omega_3069_24_0	omega_3069_24	ee294c6752d4454b837dd6c96f74a43f	0.846	0.623	0.223	1.394	0.9	0.494	0.959	0.669	0.29	846.015
omega_1056_16_0	omega_1056_16	929dc1f976bef114e69c59ac34ff5df4	0.846	0.616	0.23	1.283	0.825	0.458	1.025	0.709	0.316	901.333
omega_48_45_0	omega_48_45	5bb41f9ff5398055a9000feceadd8920	0.846	0.586	0.26	1.308	0.797	0.512	1.035	0.689	0.346	876.931
omega_2453_21_0	omega_2453_21	dae7c8e0387b1e4a392bbc4237dbc250	0.846	0.576	0.271	1.294	0.752	0.541	1.061	0.71	0.351	907.415
omega_1524_49_0	omega_1524_49	6b8671b4d8904eebb32ae1d6bedb2ef5	0.846	0.555	0.291	1.49	0.83	0.66	0.969	0.626	0.343	791.28
omega_2142_45_0	omega_2142_45	f10d92cdf97298bc80c18842073a8f66	0.846	0.604	0.242	1.259	0.825	0.434	1.047	0.693	0.354	880.486
omega_3404_44_0	omega_3404_44	a14d24a12adf0ab824c8821abaa4ce15	0.846	0.642	0.205	1.33	0.846	0.484	0.988	0.726	0.262	923.518
omega_2856_43_0	omega_2856_43	73bf25538de2229ae2701e494acf11f8	0.846	0.6	0.246	1.408	0.845	0.563	0.978	0.675	0.304	855.207
